name;Producto;ID Producto;Unidad de Medida;peso;Valor (Balboas)
Aruba;Salmones enteros o en trozos, envasados herméticamente o al vacio.;1604.11.00.00.10;KB;2276;47261
Aruba;Lomos de atún, cocidos, congelados, enteros o en trozos, excepto picado.;1604.14.10.00.00;KB;370;2220
Aruba;Preparaciones  y  conservas  de  salmón, envasados herméticamente o al vacío.;1604.20.93.00.00;KB;391;7624
Aruba;Jugos de naranja sin fermentar y sin adición de alcohol, incluso con adición de azúcar u otro edulcorante, concentrado.;2009.19.10.00.00;KB;767;553
Aruba;Jugo de piña (ananá), de valor Brix inferior o igual a 20, sin fermentar  y sin adición de alcohol, incluso  con adición de azúcar u otro edulcorante.;2009.41.00.00.00;KB;767;577
Aruba;Los  demás  jugos  de  manzana, sin  fermentar y sin  adición  de  alcohol,  incluso con adición de azúcar u   otro edulcorante.;2009.79.90.00.00;KB;1306;1045
Aruba;Jugos de frutas tropicales sin mezclar, sin fermentar y  sin adición de alcohol, incluso  con adición  de azúcar  u otro edulcorante.;2009.89.91.00.90;KB;2286;1657
Aruba;Jugos   de  melocotón   o  durazno,  sin  mezclar,  sin  fermentar y sin adición de alcohol, incluso con adición  de azúcar u otro edulcorante.;2009.89.92.00.00;KB;767;547
Aruba;Jugos  de  pera  sin  mezclar, sin  fermentar  y  sin  adición de  alcohol, incluso  con  adición de azúcar  u otro edulcorante.;2009.89.94.00.00;KB;1535;1021
Aruba;Las  demás  mezclas  de  jugos, sin  fermentar y sin  adición de alcohol, incluso con adición  de  azúcar u   otro edulcorante.;2009.90.90.00.00;KB;3147;2558
Aruba;Ron.;2208.40.10.00.00;LT;35376;89536
Aruba;Alimentos  complementarios  a  base  de concentrados de proteína.;2309.90.30.00.00;KB;85464;37300
Aruba;Las demás placas, láminas, hojas  y  tiras, de  plástico no celular  y sin refuerzo estratificación ni  soporte o combinación similar con otras materias de polímeros de  propileno, excepto en bobinas sin impresión.;3920.20.90.00.90;KB;1034;2411
Aruba;Los demás envases, incluidas las fundas  para  discos, de papel, cartón, guata de celulosa  o  napa  de fibras de celulosa.;4819.50.90.00.00;KB;7125;12955
Aruba;Envases de pulpa moldeada para portar o envasar huevos, de pasta de papel.;4823.70.10.00.10;KB;16560;24684
Aruba;Conjuntos de fibras  sintéticas  para  mujeres, excepto con  pantalón corto (calzón), o shorts.;6204.23.19.00.00;KB;22;660
Aruba;Vestidos para mujeres, de fibras sintéticas.;6204.43.10.00.00;KB;30;488
Aruba;Faldas y faldas pantalón, para mujeres, de fibras sintéticas.;6204.53.20.00.00;KB;16;428
Aruba;Los  demás pantalones largos para mujeres o niñas, de las demás materias textiles.;6204.69.29.00.00;KB;22;456
Aruba;Camisas,  blusas  y  blusas  camiseras  para  mujeres, de  fibras sintéticas o artificiales.;6206.40.10.00.90;KB;540;14042
Aruba;"Las demás construcciones  y  sus partes  de fundición, hierro o acero, excepto las construcciones prefabricadas de la partida 94.06; chapas, barras, perfiles, tubos y similares de fundición, hierro o acero, preparados para la construcción.";7308.90.90.00.00;KB;2717;5135
Aruba;Las demás manufacturas, de alambre, de hierro o acero.;7326.20.90.00.90;KB;565;2265
Aruba;Las demás construcciones prefabricadas.;9406.90.90.00.90;KB;18957;76207
Australia;Café tostado, sin descafeinar.;0901.21.00.00.00;KB;25321;155025
Australia;Café tostado, descafeinado.;0901.22.00.00.00;KB;14955;523340
Australia;Grasas y aceites de  pescado  y  sus  fracciones, excepto    los aceites de hígado, incluso refinados, pero sin modificar químicamente.;1504.20.00.00.00;KB;42890;78059
Austria;Los  demás papeles o cartones, incluidos los desperdicios y desechos sin clasificar.;4707.90.00.00.00;KB;20000;1200
Bahamas;Ron.;2208.40.10.00.00;LT;3252;6993
Bahamas;Tabaco sin desvenar o desnervar, excepto  tabaco Virginia, Burley y Turco (oriental).;2401.10.90.00.00;KB;731;6262
Bahamas;"Jabón para el baño, de belleza o desodorante, incluso con  abrasivos, jabón  desodorante, jabón de  glicerina  para  el baño, incluso con sustancias  bacteriostáticas; preparaciones orgánicas tensoactivas usadas  como  jabón  de baño,   de belleza  o  desodorante, incluso  con  sustancias bacteriostáticas.";3401.11.10.00.00;KB;245;516
Bahamas;Los demás artículos plásticos, para la construcción, no expresados ni comprendidos en otra parte.;3925.90.90.00.90;KB;262;840
Bahamas;Bolsos de mano (carteras), incluso  con  bandolera o sin asas, con superficie exterior de hojas  de plástico o materia textil.;4202.22.00.00.00;KB;107;434
Bahamas;Papel higiénico de pasta de papel.;4818.10.00.00.00;KB;1250;3448
Bahamas;Papel toalla.;4818.20.20.00.00;KB;1340;1496
Bahamas;Servilletas de pasta de  papel, papel, guata  de  celulosa o napa de fibras de celulosa.;4818.30.10.00.00;KB;1110;1776
Bahamas;Sacos (bolsas), multipliegos, de papel, cartón, guata de celulosa  o napa  de  fibras  de  celulosa, excepto  para cemento, café molido o azúcar.;4819.40.19.00.00;KB;701;1051
Bahamas;«T-shirts»  y  camisetas interiores, de punto, de las demás materias textiles, excepto de algodón.;6109.90.00.00.90;KB;41;564
Bahamas;Las demás gorras y quepis, incluso guarnecidas, de punto o confeccionadas  con  encajes, fieltro  u  otros  productos textiles en pieza.;6505.00.39.00.00;KB;55;960
Bahrein;Café tostado, descafeinado.;0901.22.00.00.00;KB;25;1210
Bangladesh;Harina de pescado.;2301.20.10.00.00;KB;502970;570379
Bangladesh;Teca en bruto, incluso descortezadas, desalburadas o escuadradas. ;4403.49.00.00.10;KB;81000;16740
Barbados;Albacoras o atunes  blancos (Thunnus  alalunga), congelados, excepto filetes, hígados, huevas y lechas.;0303.41.00.00.00;KB;948;2300
Barbados;Atunes   de  aleta  amarilla  (rabiles), (Thunnus  albacares),     congelados,  excepto filetes los hígados, huevas y lechas.;0303.42.00.00.00;KB;23962;73451
Barbados;Peces  espada (Xiphias gladius), congelados, excepto filetes, hígados, huevas y lechas.;0303.57.00.00.00;KB;19594;55796
Barbados;Cazones  y  demás  escualos, congelados, excepto los  hígados, huevas y lechas.;0303.81.00.00.00;KB;4977;7452
Barbados;Los demas pescados congelados, excepto filetes, hígados, huevas y lechas.;0303.89.00.00.00;KB;303234;696049
Barbados;Camarones  y  langostinos,  de  agua fría (Pandalus spp.,  Crangon  crangon), congelados, excepto ahumados.;0306.16.90.00.00;KB;905;4555
Barbados;Los demás moluscos, incluidos la harina, polvo y <<pellets>> de moluscos, aptos  para  la  alimentación humana, secos, salados o en salmuera, excepto ahumados.;0307.99.90.00.00;KB;275;1318
Barbados;Salmones enteros o en trozos, envasados herméticamente o al vacio.;1604.11.00.00.10;KB;426;4260
Barbados;Melaza de caña, excepto comestible.;1703.10.90.00.00;KB;12100545;798957
Barbados;Jugos de naranja sin fermentar y sin adición de alcohol, incluso con adición de azúcar u otro edulcorante, concentrado.;2009.19.10.00.00;KB;3836;2970
Barbados;Concentrado  de jugo de mango sin fermentar y sin  adición de alcohol, incluso con adición de azúcar u otro edulcorante.;2009.89.31.00.20;KB;2302;1620
Barbados;Jugos de frutas tropicales sin mezclar, sin fermentar y  sin adición de alcohol, incluso  con adición  de azúcar  u otro edulcorante.;2009.89.91.00.90;KB;3810;2970
Barbados;Jugos   de  melocotón   o  durazno,  sin  mezclar,  sin  fermentar y sin adición de alcohol, incluso con adición  de azúcar u otro edulcorante.;2009.89.92.00.00;KB;1534;1080
Barbados;Las  demás  mezclas  de  jugos, sin  fermentar y sin  adición de alcohol, incluso con adición  de  azúcar u   otro edulcorante.;2009.90.90.00.00;KB;3838;2970
Barbados;Aceites lubricantes de los tipos producidos nacionalmente.;2710.19.93.00.00;KB;121991;190982
Bélgica;Camarones cultivados, sin ahumar, congelados.;0306.17.11.00.00;KB;46040;180838
Bélgica;Piñas (ananás), frescas o secas.;0804.30.00.00.00;KB;2656472;1136970
Bélgica;Sandías frescas.;0807.11.00.00.00;KB;827781;397765
Bélgica;Café oro, sin tostar y sin descafeinar.;0901.11.30.00.00;KB;90;360
Bélgica;Café tostado, sin descafeinar.;0901.21.00.00.00;KB;18240;106632
Bélgica;Grasas y aceites de  pescado  y  sus  fracciones, excepto    los aceites de hígado, incluso refinados, pero sin modificar químicamente.;1504.20.00.00.00;KB;4429050;7265485
Bélgica;Cacao en grano, entero o partido, crudo o tostado.;1801.00.00.00.00;KB;175000;582000
Bélgica;Cementos,  morteros, hormigones  y  preparaciones similares, refractarios, excepto grafito  artificial, coloidal  o  semicoloidal.;3816.00.00.00.00;KB;7500;3750
Bélgica;Desechos, desperdicios y recortes de polímeros de etileno.;3915.10.00.00.00;KB;43828;23015
Bélgica;Teca en bruto, incluso descortezadas, desalburadas o escuadradas. ;4403.49.00.00.10;KB;46000;31256
Bélgica;Desperdicios y desechos, de fundición, de hierro o acero.;7204.10.00.00.00;KB;20000;3200
Bélgica;Desperdicios y desechos, de cobre.;7404.00.00.00.00;KB;645412;2081500
Belice;Vinagre y sucedáneos del vinagre  obtenidos  a  partir del  ácido acético.;2209.00.00.00.00;KB;54457;25050
Bolivia;Leche y nata (crema), sin adición de azúcar ni otro edulcorante, evaporadas, con un  contenido  de  materias grasas, superior a 1.5% en peso, excepto de cabra.;0402.91.92.00.00;KB;20895;98040
Bolivia;Ron.;2208.40.10.00.00;LT;752760;1619912
Bolivia;"Las demás construcciones  y  sus partes  de fundición, hierro o acero, excepto las construcciones prefabricadas de la partida 94.06; chapas, barras, perfiles, tubos y similares de fundición, hierro o acero, preparados para la construcción.";7308.90.90.00.00;KB;25021;50864
Brasil;Cazones  y  demás  escualos, congelados, excepto los  hígados, huevas y lechas.;0303.81.00.00.00;KB;5976;11475
Brasil;Los demas pescados congelados, excepto filetes, hígados, huevas y lechas.;0303.89.00.00.00;KB;100879;389159
Brasil;"Bilis  incluso desecada; glándulas y demás sustancias de origen animal utilizadas para la  preparación  de productos farmacéuticos, frescas, refrigeradas, congeladas o conservadas provisionalmente de otra forma.";0510.00.90.00.00;KB;572;148827
Brasil;Tabaco sin desvenar o desnervar, excepto  tabaco Virginia, Burley y Turco (oriental).;2401.10.90.00.00;KB;3338;30222
Brasil;Minerales de cobre y sus concentrados.;2603.00.00.00.00;KB;78200000;123655756
Brasil;Desechos, desperdicios y recortes de plástico, excepto de  etileno, estireno y cloruro de vinilo.;3915.90.00.00.00;KB;76000;16000
Brasil;Desperdicios y desechos, de cobre.;7404.00.00.00.00;KB;362921;1175718
Brasil;Desperdicios y desechos, de aluminio.;7602.00.00.00.00;KB;8276059;2744159
Bulgaria;Café tostado, descafeinado.;0901.22.00.00.00;KB;22;3050
Bulgaria;Minerales de cobre y sus concentrados.;2603.00.00.00.00;KB;38180000;55502884
Camboya;"Cueros y pieles curtidos  o  (<<crust>>)  de  bovino, enteros,  depilados, de semicurtición  mineral  al  cromo húmedo (<<wet  blue>>), con  una  superficie  por  unidad inferior o  unidad  inferior  o  igual  a  2.6 m2 (28 pies  cuadrados),  excepto  en plena flor  sin  dividir; divididos con la flor.";4104.19.11.00.00;KB;1241;1800
Canadá;Piñas (ananás), frescas o secas.;0804.30.00.00.00;KB;83610;43034
Canadá;Papayas frescas.;0807.20.00.00.00;KB;163290;156000
Canadá;Café oro, sin tostar y sin descafeinar.;0901.11.30.00.00;KB;120;480
Canadá;Café tostado, sin descafeinar.;0901.21.00.00.00;KB;23946;173631
Canadá;Café tostado, descafeinado.;0901.22.00.00.00;KB;3408;115813
Canadá;Grasas y aceites de  pescado  y  sus  fracciones, excepto    los aceites de hígado, incluso refinados, pero sin modificar químicamente.;1504.20.00.00.00;KB;213200;417872
Canadá;Ron.;2208.40.10.00.00;LT;3526;23798
Canadá;Harina de pescado.;2301.20.10.00.00;KB;783480;1064591
Canadá;Madera (incluidas las tablillas y frisos para parqués, sin ensamblar), perfilada longitudinalmente (con  lengüetas, ranuras, rebajes, acanalados, biselados, con juntas en  V, moldurados, redondeados o similares), en una  o  varias caras, cantos  o  extremos, incluso  cepillada, lijada  o  unida por  los extremos, de coníferas.;4409.10.90.00.00;KB;29766;62508
Canadá;Tableros  de fibra de densidad media (llamados <<MDF>>), de  espesor inferior o igual a 5 mm, sin  trabajo mecánico ni recubrimiento de  superficie  con  densidad  superior  a  0.35  g/cm³, sin exceder de 0.8 g/cm³.;4411.12.12.00.00;KB;1157;1620
Chile;Café oro, sin tostar y sin descafeinar.;0901.11.30.00.00;KB;805;2012
Chile;Café tostado, descafeinado.;0901.22.00.00.00;KB;577;8569
Chile;Grasas y aceites de  pescado  y  sus  fracciones, excepto    los aceites de hígado, incluso refinados, pero sin modificar químicamente.;1504.20.00.00.00;KB;664320;966721
Chile;Condimentos y sazonadores compuestos, excepto para la fabricación de embutidos.;2103.90.39.00.00;KB;21152;68373
Chile;Ron.;2208.40.10.00.00;LT;246900;881992
Chile;Harina de pescado.;2301.20.10.00.00;KB;303520;384852
Chile;Los demás medicamentos, (excepto los  productos de las partidas 30.02,  30.05 o 30.06) constituidos por productos  mezclados o sin mezclar, preparados para usos terapéuticos o profilácticos, dosificados  o  acondicionados para la venta al por menor.;3004.90.99.00.00;KB;4555;143888
Chile;Velas, cirios y  artículos  similares, excepto  para  cumpleaños.;3406.00.90.00.00;KB;4649;11425
Chile;Desperdicios y desechos de papel o  cartón  kraft  crudo o papel o cartón corrugados.;4707.10.00.00.00;KB;700000;78000
Chile;Guantes, mitones y manoplas, excepto para trabajadores.;6216.00.90.00.00;KB;2369;51205
Chile;"Las demás construcciones  y  sus partes  de fundición, hierro o acero, excepto las construcciones prefabricadas de la partida 94.06; chapas, barras, perfiles, tubos y similares de fundición, hierro o acero, preparados para la construcción.";7308.90.90.00.00;KB;27336;45378
China (Continental);Los demás cortes (trozos), sin deshuesar, de carne de animales de la especie bovina, congelada.;0202.20.00.00.90;KB;2268019;6141967
China (Continental);Los demás cortes (trozos), sin deshuesar, de carne de animales de la especie bovina, congelada.;0202.30.00.00.90;KB;2735535;12342711
China (Continental);Despojos comestibles  de  animales de  la  especie  bovina, frescos o refrigerados.;0206.10.00.00.00;KB;821748;577030
China (Continental);Despojos comestibles de animales de la especie bovina congelados, excepto arrachera.;0206.29.00.00.90;KB;175986;138620
China (Continental);Cobias  (Rachycentron  canadum), frescos  o  refrigerados,  excepto los hígados, huevas y lechas.;0302.46.00.00.00;KB;31;507
China (Continental);Colas de langostas (Palinurus spp., Panulirus spp. y Jasus spp.), congeladas, sin pelar ni ahumar.;0306.11.13.00.00;KB;4901;120959
China (Continental);Piñas (ananás), frescas o secas.;0804.30.00.00.00;KB;207872;123580
China (Continental);Café oro, sin tostar y sin descafeinar.;0901.11.30.00.00;KB;25308;116648
China (Continental);Café tostado, sin descafeinar.;0901.21.00.00.00;KB;10300;68327
China (Continental);Café tostado, descafeinado.;0901.22.00.00.00;KB;51206;1774768
China (Continental);Agua mineral.;2201.10.00.00.20;KB;19887;12272
China (Continental);Ron.;2208.40.10.00.00;LT;12328;30450
China (Continental);Harina de pescado.;2301.20.10.00.00;KB;19247290;20188793
China (Continental);Minerales de cobre y sus concentrados.;2603.00.00.00.00;KB;202105348;323901201
China (Continental);"Cueros y pieles curtidos  o  (<<crust>>)  de  bovino, enteros,  depilados, de semicurtición  mineral  al  cromo húmedo (<<wet  blue>>), con  una  superficie  por  unidad inferior o  unidad  inferior  o  igual  a  2.6 m2 (28 pies  cuadrados),  excepto  en plena flor  sin  dividir; divididos con la flor.";4104.19.11.00.00;KB;848651;1106827
China (Continental);Teca en bruto, incluso descortezadas, desalburadas o escuadradas. ;4403.49.00.00.10;KB;788920;93592
China (Continental);Las demás maderas en bruto, incluso descortezadas,  desalburadas o escuadradas.;4403.99.00.00.00;KB;457260;93431
China (Continental);Las demás maderas aserradas o desbastadas longitudinalmente, cortadas  o  desenrolladas, incluso  cepilladas, lijadas  o  unidas  por  los  extremos, de  espesor  superior a  6 mm.;4407.99.00.00.00;KB;10417663;1707436
China (Continental);Las demás manufacturas de madera, excepto con los extremos redondeados, de los tipos utilizados para helados y similares.;4421.99.99.00.90;KB;80000;48000
China (Continental);Desperdicios y desechos, de fundición, de hierro o acero.;7204.10.00.00.00;KB;300000;36037
China (Continental);Desperdicios y desechos de hierro o de acero, estañados.;7204.30.00.00.00;KB;645200;140000
China (Continental);Los demás desperdicios y desechos de  fundición, hierro o acero.;7204.49.00.00.00;KB;1837080;459978
China (Continental);Desperdicios y desechos, de cobre.;7404.00.00.00.00;KB;122472;99000
China (Continental);Desperdicios y desechos, de aluminio.;7602.00.00.00.00;KB;1263956;740895
China-Taiwán (Formosa);Los demás cortes (trozos), sin deshuesar, de carne de animales de la especie bovina, congelada.;0202.20.00.00.90;KB;33881;162904
China-Taiwán (Formosa);Los demás cortes (trozos), sin deshuesar, de carne de animales de la especie bovina, congelada.;0202.30.00.00.90;KB;1436752;6173866
China-Taiwán (Formosa);Despojos comestibles  de  animales de  la  especie  bovina, frescos o refrigerados.;0206.10.00.00.00;KB;1026036;1100716
China-Taiwán (Formosa);Despojos comestibles de animales de la especie bovina congelados, excepto arrachera.;0206.29.00.00.90;KB;110212;96827
China-Taiwán (Formosa);Cazones  y  demás  escualos, congelados, excepto los  hígados, huevas y lechas.;0303.81.00.00.00;KB;156086;231545
China-Taiwán (Formosa);Los demas pescados congelados, excepto filetes, hígados, huevas y lechas.;0303.89.00.00.00;KB;15301;19714
China-Taiwán (Formosa);Las demás carnes  de pescados  congelados, excepto peces espada, austromerluzas, tilapias, abadejo  de  Alaska,  peces de las familias Bregmacetidae, Euclihthyidae, Gadidae, Macrouridae, Melanonidae,  Merlucciidae,  Moridae y Muraenolepididae.;0304.99.00.00.00;KB;2408;7321
China-Taiwán (Formosa);Camarones  y  langostinos,  de  agua fría (Pandalus spp.,  Crangon  crangon), congelados, excepto ahumados.;0306.16.90.00.00;KB;585197;3024659
China-Taiwán (Formosa);Camarones cultivados, sin ahumar, congelados.;0306.17.11.00.00;KB;126248;815231
China-Taiwán (Formosa);Café tostado, sin descafeinar.;0901.21.00.00.00;KB;21693;125493
China-Taiwán (Formosa);Café tostado, descafeinado.;0901.22.00.00.00;KB;199469;4304012
China-Taiwán (Formosa);Cacao en grano, entero o partido, crudo o tostado.;1801.00.00.00.00;KB;1500;9250
China-Taiwán (Formosa);Ron.;2208.40.10.00.00;LT;16162;45900
China-Taiwán (Formosa);Harina de pescado.;2301.20.10.00.00;KB;907070;1080388
China-Taiwán (Formosa);Desperdicios y desechos, de fundición, de hierro o acero.;7204.10.00.00.00;KB;7013000;995532
China-Taiwán (Formosa);Desperdicios y desechos de hierro o de acero, estañados.;7204.30.00.00.00;KB;798000;152000
China-Taiwán (Formosa);Los demás desperdicios y desechos de  fundición, hierro o acero.;7204.49.00.00.00;KB;816480;270000
China-Taiwán (Formosa);Desperdicios y desechos, de aluminio.;7602.00.00.00.00;KB;1389416;1100630
Colombia;Despojos comestibles  de  animales de  la  especie  bovina, frescos o refrigerados.;0206.10.00.00.00;KB;1706;3600
Colombia;Los demás salmónidos, frescos o refrigerados, excepto los hígados, huevas y lechas.;0302.19.00.00.00;KB;23929;71788
Colombia;Atunes   de  aleta  amarilla  (rabiles), (Thunnus  albacares),     congelados,  excepto filetes los hígados, huevas y lechas.;0303.42.00.00.00;KB;8709;24467
Colombia;Jureles (Trachurus spp.), congelados, excepto los hígados, huevas y lechas.;0303.55.00.00.00;KB;494;900
Colombia;Los demas pescados congelados, excepto filetes, hígados, huevas y lechas.;0303.89.00.00.00;KB;36180;86160
Colombia;Atunes (del género Thunnus), listados o bonitos  de vientre rayado (Euthynnus (katsuwonus) pelais), en filetes, congelados.;0304.87.00.00.00;KB;41867;265453
Colombia;Dorados  (Coryphaena  hippurus), en  filetes  congelados,  excepto los hígados, huevas y lechas.;0304.89.20.00.00;KB;65;301
Colombia;Camarones cultivados, sin ahumar, congelados.;0306.17.11.00.00;KB;17580;112500
Colombia;Queso fundido, excepto el rayado o en polvo.;0406.30.00.00.00;KB;6016;36679
Colombia;Aceite de palma y sus fracciones, en bruto.;1511.10.00.00.00;KB;590000;408280
Colombia;Lomos de atún, cocidos, congelados, enteros o en trozos, excepto picado.;1604.14.10.00.00;KB;718;11136
Colombia;Ron.;2208.40.10.00.00;LT;2051;6563
Colombia;Otros  aguardientes  procedentes de la destilación, previa fermentación, de productos de la caña de azúcar.;2208.40.90.00.00;LT;1623935;4189312
Colombia;Aceites lubricantes de los tipos producidos nacionalmente.;2710.19.93.00.00;KB;328689;554591
Colombia;Los demás medicamentos, (excepto los  productos de las partidas 30.02,  30.05 o 30.06) constituidos por productos  mezclados o sin mezclar, preparados para usos terapéuticos o profilácticos, dosificados  o  acondicionados para la venta al por menor.;3004.90.99.00.00;KB;70137;1866836
Colombia;Preparaciones  para  ondulación o desrizado permanentes.;3305.20.00.00.00;KB;1500;13738
Colombia;Los demás aditivos preparados  para  cemento, morteros u hormigones.;3824.40.90.00.00;KB;2077;1977
Colombia;Los demás, productos químicos y preparaciones  de  la industria química o de  las industrias conexas (incluidas las mezclas de productos  naturales), no  expresados ni comprendidos en otra parte.;3824.99.99.00.90;KB;10182;11200
Colombia;Desechos, desperdicios y recortes de plástico, excepto de  etileno, estireno y cloruro de vinilo.;3915.90.00.00.00;KB;25773;2772
Colombia;Los  demás papeles o cartones, incluidos los desperdicios y desechos sin clasificar.;4707.90.00.00.00;KB;540700;91403
Colombia;Sobres de papel o cartón, excepto sobres carta.;4817.10.00.00.00;KB;1474;2948
Colombia;Cajas plegables de papel o cartón sin corrugar.;4819.20.20.00.00;KB;10000;22400
Colombia;Pantalones largos o cortos (calzones), con peto y shorts, de punto para  hombres o niños, de algodón.;6103.42.00.00.00;KB;10;174
Colombia;Los demás suéteres (jerseys), pullovers, cardigans, chalecos y artículos similares, de punto, de algodón.;6110.20.00.00.90;KB;10;150
Colombia;Conjuntos de fibras  sintéticas  para  mujeres, excepto con  pantalón corto (calzón), o shorts.;6204.23.19.00.00;KB;15;470
Colombia;Vestidos para mujeres, de fibras sintéticas.;6204.43.10.00.00;KB;68;1063
Colombia;Calcetines, calzas (medias  largas), y  artículos  similares,  confeccionados.;6217.10.39.00.00;KB;284;3520
Colombia;Las  demás  estatuillas y demás artículos  para adorno, de cerámica.;6913.90.00.00.90;KB;39;465
Colombia;Desperdicios y desechos, de fundición, de hierro o acero.;7204.10.00.00.00;KB;645000;58450
Colombia;Las demás manufacturas, de hierro o acero, excepto forjadas.;7326.90.90.00.00;KB;728;1133
Colombia;Desperdicios y desechos, de aluminio.;7602.00.00.00.00;KB;53095;39858
Corea del Sur;Peces  espada (Xiphias gladius), congelados, excepto filetes, hígados, huevas y lechas.;0303.57.00.00.00;KB;333918;820732
Corea del Sur;Café tostado, sin descafeinar.;0901.21.00.00.00;KB;39707;263116
Corea del Sur;Café tostado, descafeinado.;0901.22.00.00.00;KB;94216;1720264
Corea del Sur;Minerales de cobre y sus concentrados.;2603.00.00.00.00;KB;92000000;129817554
Corea del Sur;Las demás manufacturas de madera, excepto con los extremos redondeados, de los tipos utilizados para helados y similares.;4421.99.99.00.90;KB;22300;16000
Corea del Sur;Desperdicios y desechos, de fundición, de hierro o acero.;7204.10.00.00.00;KB;863600;43180
Corea del Sur;Los demás desperdicios y desechos de  fundición, hierro o acero.;7204.49.00.00.00;KB;7450377;2390001
Corea del Sur;Desperdicios y desechos, de cobre.;7404.00.00.00.00;KB;737536;622460
Corea del Sur;Desperdicios y desechos, de aluminio.;7602.00.00.00.00;KB;930916;553224
Costa Rica;Caballos vivos reproductores de raza pura.;0101.21.00.00.00;CU;200;1500
Costa Rica;Atunes  de  aleta  amarilla  (rabiles), (Thunnus albacares),  frescos  o  refrigerados,  excepto   los  hígados,  huevas  y  lechas.;0302.32.00.00.00;KB;603767;2236523
Costa Rica;Pargos (Lutjanus spp.), frescos o  refrigerados, excepto los hígados, huevas y lechas.;0302.89.10.00.00;KB;455;1501
